"publisher","year","value"
"hhc",2020,1372448.3707
"hib",2018,4829497.28122
"hib",2019,3441076.075119
"hib",2020,2981110.60028
"hiuk",2018,2246893.045948
"hiuk",2019,1458542.528469
"hiuk",2020,815104.0248
"hp_12",2018,471864.789592
"hp_12",2019,362875.585176
"hp_12",2020,92823.926766
"hpa",2018,2013652.4354
"iadb",2018,6850542543.12
"iadb",2019,4838040224.09
"iadb",2020,3098830138.19
"ibfd",2018,297213.972
"ibis_denmark",2018,5676976.388
"ibis_denmark",2019,4858210.2156
"ibis_denmark",2020,4807089.27
"icco-cooperation",2018,9587529.12
"icco-cooperation",2019,3460958.6178
"icco-cooperation",2020,809255.24
"icf",2018,344292.096
"idp",2018,2711348.31798
"idp",2019,2687315.219649
"idp",2020,2248709.41744
"ids",2018,4724602.083
"ids",2019,4125782.8872
"ids",2020,3198092.7323
"ieu",2018,631003.77
"ifangni",2018,2700
"ifcwbg",2018,8009050000
"ifrcrcs",2018,37330235.6873882
"ifsi_isvi",2018,3485159.17708
"ifsi_isvi",2019,3350659.961043
"ifsi_isvi",2020,3147177.4869
"ihaa",2018,4817343.436
"ihaa",2019,5139944.0741
"ihaa",2020,3586388.668
"ihedelft",2018,5455600
"ihedelft",2019,6436650
"ihedelft",2020,5746170
"iiwe",2018,1793495.7071
"iiwe",2019,1795430.596107
"iiwe",2020,1703691.18224
"imc_uk",2018,3930428.5582
"imc_uk",2019,3693500.2026
"imcw_admin",2018,2324485.5168
"imf",2019,12469122
"imf",2020,2717168
"imf",2018,17154842
"integrity_action",2018,134518.593928
"integrity_action",2019,37608.611742
"integrity_action",2020,37519.428585
"interburns",2018,144783.8726
"international-alert",2018,10543904.076238
"international-alert",2019,6710296.692294
"international-alert",2020,195645
"iom",2018,374318553.77
"ipas",2018,5930
"ippf",2018,7423834.084
"ippf",2019,4561898.6385
"ippf",2020,1747431.56
"iraq_foundation",2018,589398
"irc_inc",2018,59121056.4270323
"irc_inc",2019,33156567.4281265
"irc_inc",2020,7796251.63692245
"irc_uk",2018,63796550.2634987
"irc_uk",2019,33338586.9281265
"irc_uk",2020,7796251.63692245
"irise_int",2018,108253.689
"irise_int",2019,87047.9649
"irise_int",2020,20800.9764
"irw",2018,3239129.1584
"irw",2019,2519478
"issafrica",2018,782021.122
"issafrica",2019,974377.7364
"issafrica",2020,958329.51
"itc",2018,19244615
"itc",2019,24008085
"itc",2020,14880605
"iteco",2018,288053.2487
"iteco",2019,332244.670803
"iteco",2020,365596.26512
"itm",2018,17160632.6146
"itm",2019,16441813.869
"itm",2020,15898690.93538
"iucn_nl",2018,32163850.344
